1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
449	-0.814454	8.260741	2.735354	0.027935	1.9
450	-0.814133	7.940982	2.765576	0.021024	1.9
451	-0.817130	8.919761	2.675104	0.036187	2.0
452	-0.808748	9.918859	2.588662	0.022132	1.8
453	-0.812386	10.859335	2.512246	0.027445	2.1
454	-0.836208	10.793231	2.517469	0.051609	2.0
455	-0.803760	11.792816	2.440732	0.030856	2.0
456	-0.821700	11.033692	2.498572	0.025847	2.3
457	-0.792894	10.275096	2.559176	0.034165	2.2
458	-0.808127	9.928952	2.587818	0.043138	2.2
459	-0.783521	9.170044	2.652912	0.028659	2.2
460	-0.800880	10.168872	2.567898	0.020995	2.2
461	-0.796931	9.431761	2.630097	0.033882	2.1
462	-0.825140	9.620626	2.613875	0.034324	2.7
463	-0.828385	10.548694	2.536983	0.030383	2.2
464	-0.814236	11.134134	2.490762	0.052687	2.2
465	-0.794944	10.375009	2.551027	0.031971	1.9
466	-0.817983	9.615889	2.614279	0.040325	2.3
467	-0.825389	8.857021	2.680726	0.016422	2.1
468	-0.821938	8.418816	2.720656	0.033985	1.9
469	-0.831488	7.808718	2.778273	0.038536	1.7
470	-0.811248	7.049596	2.853463	0.036708	2.0
471	-0.814081	6.300740	2.931733	0.017395	2.2
472	-0.823512	5.547091	3.014963	0.020008	2.2
473	-0.803283	4.891738	3.091275	0.029930	2.4
474	-0.801728	4.259872	3.168602	0.035213	2.3
475	-0.841303	3.500782	3.266773	0.018716	2.2
476	-0.808380	2.842554	3.356959	0.024864	2.3
477	-0.807130	2.740058	3.371453	0.035143	2.3
478	-0.822067	2.182886	3.452481	0.040961	2.5
479	-0.822839	1.675907	3.529671	0.036577	2.3
480	-0.811032	0.916815	3.651921	0.016659	2.2
481	-0.819072	0.158699	3.782770	0.033254	2.3
482	-0.854875	0.000000	3.811356	0.037848	2.2
483	-0.827475	0.287376	3.759904	0.055285	2.3
484	-0.842893	1.287376	3.591203	0.025187	2.3
485	-0.840127	2.287312	3.437000	0.018357	2.2
486	-0.836194	1.575572	3.545358	0.028528	2.2
487	-0.833792	0.823448	3.667545	0.010455	2.2
488	-0.818578	1.525237	3.553281	0.023075	2.3
489	-0.800959	2.364181	3.425692	0.023482	2.3
490	-0.815956	3.337517	3.288687	0.033077	2.3
491	-0.807552	4.335046	3.159200	0.014767	2.2
492	-0.851709	4.285681	3.165368	0.022698	2.1
493	-0.789769	3.630811	3.249527	0.028484	2.1
494	-0.826306	2.876212	3.352227	0.034207	2.2
495	-0.798829	2.146295	3.457939	0.029568	2.1
496	-0.822318	1.397297	3.573578	0.022549	2.2
497	-0.856771	1.243136	3.598345	0.025230	2.1
498	-0.828983	0.781867	3.674547	0.023464	1.9
499	-0.837133	1.638136	3.535560	0.033777	2.1
