1:ItNr	2:Metric	2:Metric0	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient||	Time0[ms]	Time[ms]
451	-0.998077	-0.998077	2.201802	1092.311554	0.000112	0.000112	1.3	150.5
452	-0.997675	-0.997675	2.195055	1092.629294	0.000230	0.000230	1.3	150.7
453	-0.997612	-0.997612	2.194271	1092.666248	0.000263	0.000263	1.3	150.7
454	-0.997758	-0.997758	2.071781	1098.467295	0.000242	0.000242	1.1	151.2
455	-0.997687	-0.997687	2.088629	1097.665715	0.000240	0.000240	1.1	152.3
456	-0.997317	-0.997317	1.969367	1103.365047	0.000342	0.000342	1.1	150.3
457	-0.996431	-0.996431	2.152773	1094.624651	0.000356	0.000356	1.1	150.1
458	-0.997838	-0.997838	1.944011	1104.584374	0.000325	0.000325	1.1	165.6
459	-0.997422	-0.997422	1.881894	1107.582991	0.000449	0.000449	1.0	150.7
460	-0.997332	-0.997332	2.545990	1076.344508	0.000236	0.000236	1.1	150.6
461	-0.997990	-0.997990	2.360502	1084.890941	0.000160	0.000160	1.1	151.4
462	-0.997701	-0.997701	2.396703	1083.212293	0.000172	0.000172	1.2	153.9
463	-0.997370	-0.997370	2.367650	1084.559049	0.000200	0.000200	1.1	152.4
464	-0.997442	-0.997442	2.337614	1085.954923	0.000256	0.000256	1.1	150.6
465	-0.997777	-0.997777	2.232956	1090.846814	0.000173	0.000173	1.0	151.3
466	-0.997799	-0.997799	2.243995	1090.328788	0.000181	0.000181	1.2	151.9
467	-0.997499	-0.997499	2.220690	1091.423065	0.000147	0.000147	1.2	151.6
468	-0.997729	-0.997729	2.201496	1092.325965	0.000246	0.000246	1.1	152.3
469	-0.997356	-0.997356	2.117905	1096.275646	0.000165	0.000165	1.1	152.3
470	-0.997393	-0.997393	2.056310	1099.204361	0.000292	0.000292	1.1	151.1
471	-0.997734	-0.997734	1.996449	1102.065636	0.000200	0.000200	0.9	145.9
472	-0.997434	-0.997434	1.938246	1104.861988	0.000276	0.000276	1.0	132.5
473	-0.997485	-0.997485	2.024446	1100.725570	0.000192	0.000192	1.0	131.3
474	-0.996789	-0.996789	2.117885	1096.276586	0.000285	0.000285	1.0	130.7
475	-0.997293	-0.997293	2.010040	1101.414718	0.000289	0.000289	1.0	130.8
476	-0.997033	-0.997033	2.177598	1093.452249	0.000597	0.000597	0.9	134.9
477	-0.997716	-0.997716	1.944567	1104.557616	0.000299	0.000299	0.9	129.9
478	-0.998233	-0.998233	2.547830	1076.260405	0.000122	0.000122	1.0	131.4
479	-0.997430	-0.997430	2.552389	1076.052061	0.000243	0.000243	1.1	144.3
480	-0.997954	-0.997954	2.493286	1078.759118	0.000120	0.000120	1.1	162.1
481	-0.997602	-0.997602	2.453312	1080.597790	0.000159	0.000159	1.1	152.4
482	-0.997824	-0.997824	2.444700	1080.994689	0.000266	0.000266	1.5	152.4
483	-0.996895	-0.996895	2.404652	1082.844432	0.000484	0.000484	1.0	153.2
484	-0.997639	-0.997639	2.916448	1059.672266	0.000187	0.000187	1.1	152.4
485	-0.997884	-0.997884	2.993388	1056.274179	0.000323	0.000323	1.5	152.0
486	-0.996148	-0.996148	2.980098	1056.859574	0.000310	0.000310	1.1	152.0
487	-0.996968	-0.996968	3.128365	1050.365257	0.000361	0.000361	1.1	151.8
488	-0.997925	-0.997925	3.192559	1047.578173	0.000202	0.000202	1.1	152.1
489	-0.997223	-0.997223	3.054467	1053.592126	0.000228	0.000228	1.1	153.4
490	-0.997976	-0.997976	3.022835	1054.979425	0.000128	0.000128	1.0	154.4
491	-0.995630	-0.995630	3.007691	1055.644899	0.000202	0.000202	1.1	151.4
492	-0.997722	-0.997722	2.981883	1056.780921	0.000193	0.000193	1.1	150.5
493	-0.996163	-0.996163	2.930130	1059.066383	0.000235	0.000235	1.1	150.9
494	-0.997622	-0.997622	3.019668	1055.118501	0.000289	0.000289	1.1	153.1
495	-0.997819	-0.997819	3.225974	1046.133250	0.000223	0.000223	1.1	151.2
496	-0.996059	-0.996059	3.094300	1051.850285	0.000508	0.000508	1.1	152.4
497	-0.997888	-0.997888	3.552562	1032.218019	0.000215	0.000215	1.1	151.8
498	-0.996112	-0.996112	3.952105	1015.689726	0.000690	0.000690	1.1	151.1
499	-0.997203	-0.997203	4.567774	991.232030	0.000204	0.000204	1.1	152.0
